<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.01.08	00:03:30.871	0.57695	0.57766			6
2026.01.08	00:04:00.135	0.57695				2
2026.01.08	00:04:30.952		0.57766			4
2026.01.08	00:05:00.215	0.57695				2
2026.01.08	00:05:02.472		0.57768			4
2026.01.08	00:06:00.258	0.57695				2
2026.01.08	00:06:02.514		0.57768			4
2026.01.08	00:07:00.025	0.57695				2
2026.01.08	00:07:02.586		0.57768			4
2026.01.08	00:08:00.140	0.57695				2
2026.01.08	00:08:02.748		0.57768			4
2026.01.08	00:08:14.945		0.57778			4
2026.01.08	00:08:48.671	0.57707	0.57788			6
2026.01.08	00:09:00.217	0.57707				2
2026.01.08	00:09:36.860		0.57755			4
2026.01.08	00:09:37.301		0.57788			4
2026.01.08	00:09:37.961		0.57755			4
2026.01.08	00:09:38.509		0.57788			4
2026.01.08	00:09:38.811		0.57755			4
2026.01.08	00:09:39.113		0.57788			4
2026.01.08	00:09:39.415		0.57755			4
2026.01.08	00:09:39.724	0.57717	0.57788			6
2026.01.08	00:09:40.025		0.57752			4
2026.01.08	00:09:40.344		0.57793			4
2026.01.08	00:10:00.098	0.57717				2
2026.01.08	00:10:12.088	0.57702				2
2026.01.08	00:10:37.130	0.57700	0.57779			6
2026.01.08	00:10:37.482	0.57710	0.57798			6
2026.01.08	00:10:38.435	0.57708				2
2026.01.08	00:10:38.742	0.57710				2
2026.01.08	00:11:00.268	0.57710				2
2026.01.08	00:11:05.790	0.57724	0.57797			6
2026.01.08	00:11:09.666	0.57710	0.57798			6
2026.01.08	00:11:10.661	0.57724	0.57797			6
2026.01.08	00:11:16.988	0.57718				2
2026.01.08	00:11:19.994	0.57722	0.57798			6
2026.01.08	00:11:21.914	0.57712				2
2026.01.08	00:11:22.865	0.57722				2
2026.01.08	00:11:28.337	0.57712				2
2026.01.08	00:11:29.290	0.57722				2
2026.01.08	00:11:29.640	0.57719				2
2026.01.08	00:11:34.459	0.57710				2
2026.01.08	00:11:35.414	0.57719				2
2026.01.08	00:11:39.579	0.57720				2
2026.01.08	00:12:00.210	0.57720				2
2026.01.08	00:12:19.527	0.57726	0.57805			6
2026.01.08	00:12:46.226		0.57807			4
2026.01.08	00:12:47.501		0.57806			4
2026.01.08	00:12:48.134	0.57728	0.57808			6
2026.01.08	00:13:00.023	0.57728				2
2026.01.08	00:13:01.627	0.57734	0.57811			6
2026.01.08	00:13:01.959		0.57810			4
2026.01.08	00:13:16.082	0.57731				2
2026.01.08	00:13:17.035	0.57734				2
2026.01.08	00:14:00.128	0.57734				2
2026.01.08	00:14:02.082		0.57810			4
2026.01.08	00:14:14.619		0.57814			4
2026.01.08	00:14:24.857		0.57811			4
2026.01.08	00:14:45.439		0.57815			4
2026.01.08	00:14:49.908		0.57811			4
2026.01.08	00:14:53.121	0.57739	0.57815			6
2026.01.08	00:15:00.194	0.57739	0.57811			6
2026.01.08	00:15:02.151	0.57735	0.57813			6
2026.01.08	00:15:49.313	0.57734				2
2026.01.08	00:15:53.192		0.57809			4
2026.01.08	00:15:53.495		0.57813			4
2026.01.08	00:16:00.317	0.57734				2
2026.01.08	00:16:07.396		0.57816			4
2026.01.08	00:16:14.170		0.57815			4
2026.01.08	00:17:00.244	0.57728	0.57787			6
2026.01.08	00:17:00.545	0.57726				2
2026.01.08	00:17:05.533	0.57738	0.57816			6
2026.01.08	00:17:15.852	0.57731	0.57836			6
2026.01.08	00:17:16.705	0.57738	0.57817			6
2026.01.08	00:17:42.396	0.57733	0.57836			6
2026.01.08	00:17:43.350	0.57738	0.57817			6
2026.01.08	00:18:00.123	0.57738				2
2026.01.08	00:18:43.532		0.57817			4
2026.01.08	00:19:00.244	0.57738				2
2026.01.08	00:19:43.713		0.57817			4
2026.01.08	00:20:00.078	0.57738				2
2026.01.08	00:20:00.427	0.57733	0.57833			6
2026.01.08	00:20:00.923		0.57838			4
2026.01.08	00:20:07.235		0.57833			4
2026.01.08	00:20:15.915		0.57836			4
2026.01.08	00:20:25.931		0.57833			4
2026.01.08	00:20:27.269		0.57831			4
2026.01.08	00:20:28.301		0.57828			4
2026.01.08	00:20:35.870		0.57825			4
2026.01.08	00:20:38.962		0.57834			4
2026.01.08	00:20:41.223		0.57825			4
2026.01.08	00:20:45.791		0.57823			4
2026.01.08	00:20:51.513		0.57820			4
2026.01.08	00:20:53.200		0.57814			4
2026.01.08	00:21:00.339	0.57733				2
2026.01.08	00:21:11.460		0.57820			4
2026.01.08	00:21:17.019		0.57814			4
2026.01.08	00:21:41.936		0.57810			4
2026.01.08	00:22:03.308	0.57733				2
2026.01.08	00:22:21.774		0.57808			4
2026.01.08	00:22:29.154		0.57811			4
2026.01.08	00:23:04.001	0.57733				2
2026.01.08	00:23:05.739		0.57809			4
2026.01.08	00:23:20.980		0.57811			4
2026.01.08	00:24:02.706	0.57733	0.57815			6
2026.01.08	00:24:25.015		0.57823			4
2026.01.08	00:24:25.414		0.57824			4
2026.01.08	00:24:38.431		0.57831			4
2026.01.08	00:24:40.550		0.57809			4
2026.01.08	00:24:40.858		0.57829			4
2026.01.08	00:24:41.164		0.57809			4
2026.01.08	00:24:41.483		0.57829			4
2026.01.08	00:24:41.795		0.57809			4
2026.01.08	00:24:42.125		0.57829			4
2026.01.08	00:24:42.439		0.57809			4
2026.01.08	00:24:42.743		0.57829			4
2026.01.08	00:24:43.060		0.57809			4
2026.01.08	00:24:44.002		0.57829			4
2026.01.08	00:24:46.524		0.57823			4
2026.01.08	00:24:53.201	0.57727	0.57803			6
2026.01.08	00:24:53.636		0.57802			4
2026.01.08	00:24:55.109		0.57801			4
2026.01.08	00:24:58.900	0.57719				2
2026.01.08	00:24:59.232	0.57717				2
2026.01.08	00:25:00.278	0.57717				2
2026.01.08	00:25:17.259		0.57786			4
2026.01.08	00:25:18.198	0.57716				2
2026.01.08	00:25:18.501	0.57720				2
2026.01.08	00:25:18.803	0.57717				2
2026.01.08	00:25:36.246	0.57716				2
2026.01.08	00:25:38.423	0.57720				2
2026.01.08	00:25:39.981	0.57712				2
2026.01.08	00:26:00.184	0.57712				2
2026.01.08	00:26:03.295		0.57785			4
2026.01.08	00:26:03.633		0.57786			4
2026.01.08	00:26:09.100		0.57784			4
2026.01.08	00:26:22.001	0.57713				2
2026.01.08	00:26:36.082		0.57783			4
2026.01.08	00:26:40.083	0.57718				2
2026.01.08	00:26:43.152		0.57784			4
2026.01.08	00:26:43.707	0.57719				2
2026.01.08	00:26:50.991		0.57786			4
2026.01.08	00:27:00.991	0.57719	0.57784			6
2026.01.08	00:27:01.692	0.57706	0.57786			6
2026.01.08	00:27:02.114	0.57702				2
2026.01.08	00:27:02.500	0.57701				2
2026.01.08	00:27:04.325	0.57695	0.57783			6
2026.01.08	00:27:04.638	0.57692	0.57780			6
2026.01.08	00:27:05.708		0.57778			4
2026.01.08	00:27:09.369		0.57776			4
2026.01.08	00:27:09.694		0.57775			4
2026.01.08	00:27:10.793	0.57691	0.57776			6
2026.01.08	00:27:11.866		0.57780			4
2026.01.08	00:27:14.284	0.57692				2
2026.01.08	00:27:14.862		0.57779			4
2026.01.08	00:27:19.157	0.57691				2
2026.01.08	00:27:49.642	0.57690	0.57781			6
2026.01.08	00:27:54.932		0.57780			4
2026.01.08	00:27:56.983	0.57689				2
2026.01.08	00:27:58.985		0.57779			4
2026.01.08	00:28:01.969	0.57689				2
2026.01.08	00:28:04.569	0.57690	0.57777			6
2026.01.08	00:28:04.964		0.57775			4
2026.01.08	00:28:06.274		0.57777			4
2026.01.08	00:28:06.789		0.57776			4
2026.01.08	00:28:08.906		0.57778			4
2026.01.08	00:28:14.846		0.57777			4
2026.01.08	00:28:16.317	0.57698	0.57779			6
2026.01.08	00:28:17.294		0.57777			4
2026.01.08	00:28:18.305		0.57779			4
2026.01.08	00:28:19.223	0.57701	0.57778			6
2026.01.08	00:28:20.246	0.57704				2
2026.01.08	00:28:20.990	0.57705				2
2026.01.08	00:28:30.333	0.57704				2
2026.01.08	00:28:45.601	0.57705				2
2026.01.08	00:28:49.627		0.57780			4
2026.01.08	00:28:50.932		0.57777			4
2026.01.08	00:28:51.890	0.57704	0.57776			6
2026.01.08	00:28:57.714		0.57777			4
2026.01.08	00:29:00.335	0.57704				2
2026.01.08	00:29:10.337	0.57705				2
2026.01.08	00:29:42.562		0.57776			4
2026.01.08	00:29:45.491	0.57704	0.57771			6
2026.01.08	00:29:45.941	0.57702				2
2026.01.08	00:30:00.133	0.57702				2
2026.01.08	00:30:00.745		0.57770			4
2026.01.08	00:30:01.109		0.57771			4
2026.01.08	00:30:04.624	0.57703	0.57770			6
2026.01.08	00:30:07.229	0.57702	0.57771			6
2026.01.08	00:30:08.518		0.57770			4
2026.01.08	00:30:10.724		0.57768			4
2026.01.08	00:30:11.542	0.57703	0.57771			6
2026.01.08	00:30:14.488	0.57705	0.57767			6
2026.01.08	00:30:15.891	0.57707				2
2026.01.08	00:30:19.309		0.57765			4
2026.01.08	00:30:20.844	0.57714	0.57759			6
2026.01.08	00:30:22.275		0.57760			4
2026.01.08	00:30:25.488	0.57709	0.57768			6
2026.01.08	00:30:27.141	0.57710	0.57766			6
2026.01.08	00:30:28.308	0.57713	0.57763			6
2026.01.08	00:30:28.629	0.57709	0.57767			6
2026.01.08	00:30:33.013		0.57768			4
2026.01.08	00:30:34.133	0.57711	0.57766			6
2026.01.08	00:30:36.059	0.57710				2
2026.01.08	00:30:36.369	0.57711				2
2026.01.08	00:30:36.689	0.57710				2
2026.01.08	00:30:37.010	0.57711				2
2026.01.08	00:30:37.331		0.57765			4
2026.01.08	00:30:37.647		0.57766			4
2026.01.08	00:30:37.969		0.57765			4
2026.01.08	00:30:40.846		0.57767			4
2026.01.08	00:30:41.165	0.57712	0.57766			6
2026.01.08	00:30:41.487	0.57711				2
2026.01.08	00:30:41.806		0.57765			4
2026.01.08	00:30:42.424		0.57766			4
2026.01.08	00:30:42.743	0.57712	0.57767			6
2026.01.08	00:30:45.514	0.57707	0.57770			6
2026.01.08	00:30:47.472	0.57712	0.57769			6
2026.01.08	00:30:48.844	0.57702	0.57757			6
2026.01.08	00:30:49.258	0.57700	0.57761			6
2026.01.08	00:30:49.561	0.57706				2
2026.01.08	00:30:49.863	0.57710				2
2026.01.08	00:30:52.124	0.57706				2
2026.01.08	00:30:52.446	0.57711	0.57762			6
2026.01.08	00:30:54.187	0.57705				2
2026.01.08	00:30:54.525	0.57711				2
2026.01.08	00:30:55.152	0.57705				2
2026.01.08	00:30:55.481	0.57711				2
2026.01.08	00:30:55.791	0.57704				2
2026.01.08	00:30:57.713	0.57710				2
2026.01.08	00:31:01.224	0.57703	0.57758			6
2026.01.08	00:31:02.095		0.57757			4
2026.01.08	00:31:07.884	0.57714	0.57763			6
2026.01.08	00:31:09.186	0.57706				2
2026.01.08	00:31:14.307	0.57705	0.57760			6
2026.01.08	00:31:14.648	0.57704				2
2026.01.08	00:31:15.546		0.57757			4
