<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.04.20	00:03:30.690	0.58522	0.58652			6
2026.04.20	00:03:55.381	0.58527				2
2026.04.20	00:04:00.203	0.58527				2
2026.04.20	00:04:03.223	0.58522				2
2026.04.20	00:04:09.841	0.58538				2
2026.04.20	00:04:30.897		0.58652			4
2026.04.20	00:05:00.078	0.58538				2
2026.04.20	00:05:02.190	0.58534				2
2026.04.20	00:05:04.600		0.58642			4
2026.04.20	00:05:41.301	0.58533				2
2026.04.20	00:05:51.546	0.58534				2
2026.04.20	00:06:00.275	0.58534				2
2026.04.20	00:06:04.790		0.58642			4
2026.04.20	00:06:06.290	0.58536				2
2026.04.20	00:06:34.880		0.58639			4
2026.04.20	00:07:00.178	0.58536				2
2026.04.20	00:07:30.572		0.58638			4
2026.04.20	00:07:42.919	0.58533				2
2026.04.20	00:07:48.939	0.58528	0.58632			6
2026.04.20	00:07:49.240		0.58592			4
2026.04.20	00:07:56.162	0.58534	0.58639			6
2026.04.20	00:08:00.072	0.58534				2
2026.04.20	00:08:27.166	0.58543				2
2026.04.20	00:08:27.467	0.58535	0.58638			6
2026.04.20	00:08:35.289	0.58544				2
2026.04.20	00:08:59.076	0.58535				2
2026.04.20	00:09:00.282	0.58535				2
2026.04.20	00:09:27.668		0.58638			4
2026.04.20	00:09:38.191	0.58554				2
2026.04.20	00:09:53.231	0.58579	0.58640			6
2026.04.20	00:09:53.534	0.58554				2
2026.04.20	00:10:00.164	0.58554				2
2026.04.20	00:10:02.660		0.58638			4
2026.04.20	00:10:03.562		0.58640			4
2026.04.20	00:11:00.527	0.58554				2
2026.04.20	00:11:01.649	0.58555				2
2026.04.20	00:11:05.027		0.58640			4
2026.04.20	00:11:53.596		0.58641			4
2026.04.20	00:12:00.111	0.58555				2
2026.04.20	00:12:55.127		0.58641			4
2026.04.20	00:13:00.110	0.58555				2
2026.04.20	00:13:07.081	0.58554				2
2026.04.20	00:13:27.396	0.58539	0.58649			6
2026.04.20	00:13:35.536	0.58554	0.58641			6
2026.04.20	00:13:40.241		0.58631			4
2026.04.20	00:13:44.457	0.58539	0.58638			6
2026.04.20	00:13:52.267		0.58628			4
2026.04.20	00:13:52.568		0.58649			4
2026.04.20	00:13:54.069	0.58554	0.58641			6
2026.04.20	00:14:00.118	0.58554				2
2026.04.20	00:14:17.941	0.58563	0.58640			6
2026.04.20	00:14:24.557		0.58641			4
2026.04.20	00:14:35.951	0.58555				2
2026.04.20	00:15:00.437	0.58555				2
2026.04.20	00:15:31.419		0.58641			4
2026.04.20	00:16:00.227	0.58555				2
2026.04.20	00:16:04.301	0.58540	0.58649			6
2026.04.20	00:16:07.018	0.58526				2
2026.04.20	00:16:07.320		0.58651			4
2026.04.20	00:16:08.265	0.58539				2
2026.04.20	00:16:11.785	0.58536	0.58650			6
2026.04.20	00:16:12.085		0.58651			4
2026.04.20	00:16:32.265	0.58545	0.58645			6
2026.04.20	00:16:38.708	0.58553	0.58640			6
2026.04.20	00:16:47.326	0.58554				2
2026.04.20	00:17:00.527	0.58554				2
2026.04.20	00:17:02.430	0.58540	0.58650			6
2026.04.20	00:17:14.464	0.58539				2
2026.04.20	00:17:16.578	0.58536				2
2026.04.20	00:17:27.916	0.58545	0.58645			6
2026.04.20	00:17:30.681	0.58553	0.58640			6
2026.04.20	00:17:30.984	0.58545	0.58645			6
2026.04.20	00:17:34.092	0.58554	0.58640			6
2026.04.20	00:18:00.229	0.58554				2
2026.04.20	00:18:07.245	0.58539	0.58650			6
2026.04.20	00:19:00.112	0.58539				2
2026.04.20	00:19:06.945		0.58648			4
2026.04.20	00:19:07.546	0.58540				2
2026.04.20	00:19:13.128	0.58552	0.58640			6
2026.04.20	00:19:13.791	0.58553				2
2026.04.20	00:19:29.029	0.58540	0.58649			6
2026.04.20	00:19:33.257	0.58551	0.58640			6
2026.04.20	00:19:33.555	0.58540	0.58649			6
2026.04.20	00:19:35.664		0.58648			4
2026.04.20	00:19:35.965		0.58649			4
2026.04.20	00:19:40.470	0.58544	0.58645			6
